title,studio,domestic_gross,foreign_gross,year
A Wrinkle in Time,BV,100500000.0,32200000,2018
ABCD (Any Body Can Dance),UTV,222000.0,,2013
ABCD (Any Body Can Dance) 2,UTV,892000.0,,2015
ATM,IFC,3000.0,,2012
Aarakshan (Reservation),Relbig.,651000.0,,2011
Aashayein (Wishes),Relbig.,,3800,2010
Abduction,LGF,28100000.0,54000000,2011
About Cherry,IFC,3000.0,,2012
About Last Night (2014),SGem,48600000.0,365000,2014
About Time,Uni.,15300000.0,71800000,2013
Abracadabra,Sony,14000.0,,2017
Abraham Lincoln: Vampire Hunter,Fox,37500000.0,79000000,2012
Absolutely Anything,ADC,20200.0,,2017
Absolutely Fabulous: The Movie,FoxS,4800000.0,33100000,2016
Act of Killing,Drft.,487000.0,,2013
Act of Valor,Rela.,70000000.0,11300000,2012
Action Jackson (2014),Eros,257000.0,,2014
Adderall Diaries,A24,13200.0,,2016
Addicted,LGF,17400000.0,,2014
Admission,Focus,18000000.0,,2013
Adore,EXCL,319000.0,,2013
Adrift,STX,31400000.0,28500000,2018
Adult World,IFC,25400.0,,2014
Advanced Style,B360,87900.0,,2014
Ae Dil Hai Mushkil,FIP,4300000.0,24100000,2016
Aferim!,BWP,108000.0,,2016
African Cats,BV,15400000.0,15400000,2011
After Earth,Sony,60500000.0,183300000,2013
After The Ball,Free,162000.0,,2015
After the Storm,FM,272000.0,,2017
After.Life,Anch.,109000.0,1900000,2010
Afterimage,FM,33400.0,,2017
Aftershock (Tangshan Dadizhen),CL,63000.0,100200000,2010
Against the Sun,TAFC,4600.0,,2015
Age of Uprising: The Legend of Michael Kohlhaas (U.S. only),MBox,3300.0,797000,2014
Agent Vinod,Eros,698000.0,,2012
Agneepath,Eros,2000000.0,,2012
Agora,NM,619000.0,38400000,2010
Ai Weiwei: Never Sorry,IFC,534000.0,,2012
Ain't Them Bodies Saints,IFC,397000.0,635000,2013
Ajami,Kino,622000.0,669000,2010
Alamar,FM,61600.0,,2010
Alan Partridge: The Movie,Magn.,153000.0,9600000,2014
Albert Nobbs,RAtt.,3000000.0,2600000,2012
Alex Cross,LG/S,25900000.0,8700000,2012
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",BV,67000000.0,34400000,2014
Alice Through the Looking Glass,BV,77000000.0,222400000,2016
Alice in Wonderland (2010),BV,334200000.0,691300000,2010
Alien: Covenant,Fox,74300000.0,166600000,2017
All Eyez on Me,LG/S,44900000.0,,2017
All Good Things,Magn.,582000.0,62500,2010
All Is Lost,RAtt.,6300000.0,7400000,2013
All Saints,Affirm,5800000.0,140000,2017
All Together,KL,43200.0,7200000,2012
All the Boys Love Mandy Lane,RTWC,,1900000,2013
All the Money in the World,TriS,25100000.0,31900000,2017
"All's Well, End's Well (2012)",CL,47900.0,,2012
Alleluia,MBox,6300.0,,2015
Allied,Par.,40100000.0,79400000,2016
Almost Christmas,Uni.,42200000.0,422000,2016
Aloha,Sony,21100000.0,5200000,2015
Alone in Berlin,IFC,33100.0,,2017
Along with the Gods: The Two Worlds,WGUSA,1900000.0,,2017
Alpha,Studio 8,35900000.0,62300000,2018
Alpha and Omega,LGF,25100000.0,25400000,2010
Alphaville (2013 re-release),Rialto,47700.0,,2014
Alps,KL,16100.0,,2012
Alvin and the Chipmunks: Chipwrecked,Fox,133100000.0,209600000,2011
Alvin and the Chipmunks: The Road Chip,Fox,85900000.0,148900000,2015
Always Kabhi Kabhi,Eros,21400.0,,2011
American Assassin,LGF,36200000.0,31000000,2017
American Honey,A24,663000.0,1200000,2016
American Hustle,Sony,150100000.0,101100000,2013
American Made,Uni.,51300000.0,83500000,2017
American Pastoral,LGF,544000.0,,2016
American Reunion,Uni.,57000000.0,178000000,2012
American Sniper,WB,350100000.0,197300000,2014
American Ultra,LGF,14400000.0,12700000,2015
Amityville: The Awakening,W/Dim.,700.0,7700000,2017
Amour,SPC,6700000.0,13100000,2012
Amour Fou,FM,13700.0,,2015
Amy,A24,8400000.0,,2015
An Actor Prepares,Grav.,1700.0,,2018
An Eye for Beauty,MR,9000.0,,2015
An Inconvenient Sequel: Truth to Power,Par.,3500000.0,1900000,2017
An Invisible Sign,IFC,1300.0,,2011
Anchor Baby,AGF,15800.0,161000,2011
Anchorman 2: The Legend Continues,Par.,125200000.0,46300000,2013
And So It Goes,CE,15200000.0,10200000,2014
Andhadhun,Eros,1200000.0,,2018
Anesthesia,IFC,32200.0,,2016
Animal Kingdom,SPC,1000000.0,5700000,2010
Anjaana Anjaani,Eros,855000.0,761000,2010
Anna,VE,4300.0,,2014
Anna Karenina,Focus,12800000.0,56100000,2012
Annabelle,WB (NL),84300000.0,172800000,2014
Annabelle: Creation,WB (NL),102100000.0,204400000,2017
Annie (2014),Sony,85900000.0,47900000,2014
Anomalisa,Par.,3800000.0,1900000,2015
Anonymous,Sony,4500000.0,10900000,2011
Another Earth,FoxS,1300000.0,456000,2011
Another Happy Day,P4,8500.0,347000,2011
Another Year,SPC,3200000.0,16500000,2010
Ant-Man,BV,180200000.0,339100000,2015
Ant-Man and the Wasp,BV,216600000.0,406000000,2018
Anthropoid,BST,3000000.0,,2016
Antonio Lopez 1970: Sex Fashion & Disco,FM,43200.0,30000,2018
Any Day Now,MBox,201000.0,,2012
Apartment 143,Magn.,400.0,426000,2012
Apollo 18,W/Dim.,17700000.0,7900000,2011
Appropriate Behavior,Grav.,46900.0,,2015
April and the Extraordinary World,GK,295000.0,,2016
Aquaman,WB,335100000.0,812700000,2018
Aquarius,Vita.,286000.0,,2016
Arabian Nights: Volume 1 - The Restless One,KL,12300.0,,2015
Arabian Nights: Volume 2 - The Desolate One,KL,6400.0,,2015
Arabian Nights: Volume 3 - The Enchanted One,KL,4500.0,,2015
Arbitrage,RAtt.,7900000.0,27600000,2012
Archipelago,KL,7800.0,492000,2014
Argentina,FRun,14900.0,,2016
Argento's Dracula 3D,IFC,8100.0,,2013
Argo,WB,136000000.0,96300000,2012
Armadillo,Lorb.,14600.0,2000000,2011
Army of Crime,Lorb.,37000.0,1200000,2010
Around a Small Mountain,CGld,33200.0,131000,2010
Arrival,Par.,100500000.0,102800000,2016
Arthur (2011),WB,33000000.0,12700000,2011
Arthur Christmas,Sony,46500000.0,101000000,2011
Arthur Newman,Cdgm.,208000.0,,2013
As Above/So Below,Uni.,21300000.0,20600000,2014
As Good as Dead,First,2000.0,53600,2010
As I Open My Eyes,KL,31000.0,,2016
Ashby,TFA,4600.0,,2015
Assassin's Creed,Fox,54600000.0,186300000,2016
Assassination (2015),WGUSA,1900000.0,,2015
Asura: The City of Madness,CJ,176000.0,,2016
At Any Price,SPC,381000.0,,2013
Atomic Blonde,Focus,51700000.0,48300000,2017
Attack on Titan: Part 1,FUN,450000.0,,2015
Attack on Titan: Part 2,FUN,306000.0,,2015
Attack the Block,SGem,1000000.0,4800000,2011
Attenberg,Strand,24000.0,45900,2012
August: Osage County,Wein.,37700000.0,36500000,2013
Aurora,CGld,5700.0,5100,2011
Austenland,SPC,2200000.0,,2013
Author: The JT LeRoy Story,Magn.,86000.0,,2016
Avatar: Special Edition,Fox,10700000.0,22500000,2010
Avengers: Age of Ultron,BV,459000000.0,946400000,2015
Avengers: Infinity War,BV,678800000.0,"1,369.5",2018
Awake: The Life of Yogananda,CF&SR,1500000.0,,2014
BOMBSHELL: The Hedy Lamarr Story,Zeit.,820000.0,,2017
BPM (Beats Per Minute),Orch.,125000.0,,2017
Baaghi,UTV,438000.0,,2016
Baaghi 2,FIP,1300000.0,29900000,2018
Baahubali 2: The Conclusion,GrtIndia,20200000.0,234000000,2017
Baahubali: The Beginning,BSC,6700000.0,,2015
Baar Baar Dekho,Eros,982000.0,,2016
Babies,Focus,7300000.0,2200000,2010
Baby Driver,TriS,107800000.0,119100000,2017
Bachelorette,RTWC,448000.0,11500000,2012
Back in Time (Congcong Nanian),CL,569000.0,,2014
Back to 1942,CL,313000.0,,2012
Back to Burgundy,MBox,258000.0,11400000,2018
Back to the Future Day,UHE,1700000.0,3200000,2015
Back to the Jurassic,CJ,4400.0,,2015
Bad Moms,STX,113300000.0,70700000,2016
Bad Samaritan,Electric,3400000.0,,2018
Bad Santa 2,BG,17800000.0,,2016
Bad Teacher,Sony,100300000.0,115900000,2011
Bad Times At The El Royale,Fox,17800000.0,14000000,2018
Badmaash Company,Yash,,64400,2010
Badrinath Ki Dulhania,FIP,2000000.0,23200000,2017
Bag of Marbles,Gaum.,411000.0,,2018
Baggage Claim,FoxS,21600000.0,887000,2013
Bajirao Mastani,Eros,6600000.0,,2015
Bajrangi Bhaijaan,Eros,8199999.0,,2015
Band Baaja Baaraat,Yash,43800.0,60700,2010
Bang Bang,FIP,2500000.0,39500000,2014
Barbara,AF,1000000.0,3100000,2012
Barbershop: The Next Cut,WB (NL),54000000.0,1000000,2016
Barely Lethal,A24,6100.0,,2015
Barfi!,UTV,2800000.0,,2012
Barney's Version (U.S. only),SPC,4400000.0,4000000,2011
Bastards,IFC,24500.0,,2013
Batman v Superman: Dawn of Justice,WB,330400000.0,543300000,2016
Batman: The Killing Joke,Fathom,3800000.0,,2016
Batti Gul Meter Chalu,Eros,250000.0,,2018
Battle of the Sexes,FoxS,12600000.0,,2017
Battle of the Year,SGem,8900000.0,7700000,2013
Battle: Los Angeles,Sony,83600000.0,128300000,2011
Battleship,Uni.,65400000.0,237600000,2012
Battleship Potemkin (2011 re-issue),Kino,51200.0,,2011
Baywatch,Par.,58100000.0,119800000,2017
Bears,BV,17800000.0,3500000,2014
Beast,RAtt.,800000.0,,2018
Beastly,CBS,27900000.0,15300000,2011
Beasts of the Southern Wild,FoxS,12800000.0,8300000,2012
Beatriz At Dinner,RAtt.,7100000.0,310000,2017
Beautiful Boy,Anch.,77200.0,,2011
Beautiful Boy (2018),Amazon,7600000.0,8700000,2018
Beautiful Creatures (2013),WB,19500000.0,40600000,2013
Beauty and the Beast (2017),BV,504000000.0,759500000,2017
Beauty and the Beast (3D),BV,47600000.0,14400000,2012
Beauty and the Dogs,Osci.,8900.0,,2018
Becoming Astrid,MBox,120000.0,,2018
Becoming Traviata,Distrib.,62700.0,,2013
Before I Fall,ORF,12200000.0,,2017
Before I Go To Sleep,CE,3200000.0,12200000,2014
Before Midnight,SPC,8100000.0,3100000,2013
Before We Go,RTWC,37200.0,,2015
Before We Vanish,Super,52100.0,,2018
Begin Again,Wein.,16200000.0,47300000,2014
Beginners,Focus,5800000.0,8500000,2011
Beginning of the Great Revival,CL,151000.0,58200000,2011
Beijing Love Story,CL,428000.0,,2014
Being 17,Strand,52700.0,,2016
Being Elmo: A Puppeteer's Journey,SD,304000.0,,2011
Being Flynn,Focus,540000.0,,2012
Beirut,BST,5000000.0,2500000,2018
Bel Ami,Magn.,120000.0,8199999,2012
Believe,ORF,6200000.0,,2013
Belle,FoxS,10700000.0,,2014
Bellflower,Osci.,168000.0,,2011
Beloved (2012),IFC,138000.0,1500000,2012
Beloved Sisters,MBox,54000.0,2200000,2015
Ben is Back,RAtt.,3700000.0,,2018
Ben-Hur (2016),Par.,26400000.0,67700000,2016
Bending the Arc,Abr.,21900.0,,2017
Berberian Sound Studio,IFC,38500.0,,2013
Bernie,MNE,9200000.0,,2012
Besharam,Relbig.,680000.0,,2013
Bethlehem,AF,202000.0,,2014
Better Living Through Chemistry,Gold.,75100.0,,2014
Better Watch Out,WGUSA,20400.0,,2017
Beyond Outrage,Magn.,3900.0,16200000,2014
Beyond the Hills,IFC,125000.0,,2013
Beyond the Reach,RAtt.,45900.0,,2015
Bhaag Milkha Bhaag,Relbig.,1600000.0,,2013
Bicycling with Moliere,Strand,59900.0,10700000,2014
Big Eyes,Wein.,14500000.0,14800000,2014
Big Game,EC,24600.0,,2015
Big Hero 6,BV,222500000.0,435300000,2014
Big Miracle,Uni.,20200000.0,4600000,2012
"Big Mommas: Like Father, Like Son",Fox,37900000.0,44800000,2011
Big Stone Gap,PH,1000000.0,,2015
Bilal: A New Breed of Hero,VE,491000.0,1700000,2018
Bill Cunningham New York,Zeit.,1500000.0,,2011
Billionaire Boy's Club,VE,1300.0,2500000,2018
Billy Lynn's Long Halftime Walk,TriS,1700000.0,29200000,2016
Billy and Buddy,Distrib.,900.0,15200000,2013
Bird People,IFC,32100.0,,2014
Birdman,FoxS,42300000.0,60900000,2014
Bitch Slap,Free,17400.0,182000,2010
Biutiful,RAtt.,5100000.0,20000000,2011
Bjork - Biophilia Live,CP,128000.0,306000,2014
BlacKkKlansman,Focus,49300000.0,44000000,2018
Black Butler: Book of the Atlantic,FUN,248000.0,,2017
Black Death,Magn.,22600.0,243000,2011
Black Mass,WB,62600000.0,37200000,2015
Black Nativity,FoxS,7000000.0,436000,2013
Black Panther,BV,700100000.0,646900000,2018
Black Panthers: Vanguard of the Revolution,PBS,517000.0,67200,2015
Black Sea,Focus,1200000.0,,2015
Black Souls (Anime Nere),Alc,101000.0,,2015
Black Swan,FoxS,107000000.0,222400000,2010
Black or White,Rela.,21600000.0,,2015
Blackhat,Uni.,8000000.0,11600000,2015
Blackthorn,Magn.,201000.0,423000,2011
Blackway,Electric,27100.0,,2016
Blade Runner 2049,WB,92100000.0,167200000,2017
Blade of the Immortal,Magn.,151000.0,,2017
Blair Witch,LGF,20800000.0,24400000,2016
Blancanieves,Cohen,280000.0,,2013
Bleed for This,ORF,5100000.0,,2016
Blended,WB,46300000.0,81700000,2014
Blind,VE,12500.0,,2017
Blindspotting,LG/S,4300000.0,530000,2018
Blockers,Uni.,60300000.0,33700000,2018
Blood Ties,ALP,2800.0,,2011
Blood Ties (2014),RAtt.,42500.0,2400000,2014
Blue Is the Warmest Color,IFC,2200000.0,5200000,2013
Blue Jasmine,SPC,33400000.0,64099999,2013
Blue Valentine,Wein.,9700000.0,2600000,2010
Bluebeard,Strand,33500.0,5200,2010
Bodyguard,Relbig.,1800000.0,,2011
Bohemian Rhapsody,Fox,216400000.0,687200000,2018
Bol,Eros,189000.0,,2011
Bol Bachchan,FIP,1200000.0,27600000,2012
Bombay Velvet,FIP,451000.0,,2015
Bonsai,Strand,21300.0,,2012
Boo! A Madea Halloween,LGF,73200000.0,1600000,2016
Boogie Woogie,IFC,2600.0,44900,2010
Book Club,Par.,68600000.0,,2018
Borg vs. McEnroe,Neon,231000.0,,2018
Borgman,Drft.,57500.0,952000,2014
Born in China,BV,13900000.0,11200000,2017
Born to Be Wild (IMAX),WB,25900000.0,15600000,2011
Born to be Blue,EOne,152000.0,,2016
Born to be Blue (US Release),IFC,678000.0,,2016
Boruto: Naruto the Movie,Elev.,920000.0,,2015
Boulevard,SM,126000.0,,2015
Boy (2012),PalUni,256000.0,8400000,2012
Boy Erased,Focus,6800000.0,5000000,2018
Boyhood,IFC,25400000.0,19100000,2014
Brad's Status,Annapurna,2100000.0,1700000,2017
Branded,RAtt.,354000.0,3400000,2012
Brave,BV,237300000.0,303200000,2012
Break Ke Baad,Relbig.,428000.0,389000,2010
Breaking In (2018),Uni.,46800000.0,4600000,2018
Breakup Buddies,CL,778000.0,188200000,2014
Breathe (2017),BST,490000.0,,2017
Breathe In,Cohen,89700.0,,2014
Breathing,KL,4600.0,803000,2012
Brick Mansions,Rela.,20400000.0,48500000,2014
Bride Flight,MBox,501000.0,3700000,2011
Bridesmaids,Uni.,169100000.0,119300000,2011
Bridge of Spies,BV,72300000.0,93200000,2015
Bridget Jones's Baby,Uni.,24300000.0,187700000,2016
Bright Days Ahead,Trib.,21800.0,1400000,2014
Brighton Rock,IFC,230000.0,1600000,2011
Broken Circle Breakdown,Trib.,175000.0,5300000,2013
Broken City,Fox,19700000.0,,2013
Brooklyn,FoxS,38300000.0,23800000,2015
Brooklyn's Finest,Over.,27200000.0,9300000,2010
Brotherhood (2011),P4,19700.0,12700,2011
Brotherhood of Blades 2: The Infernal Battlefield,WGUSA,14200.0,,2017
Brothers: Blood Against Blood,FIP,614000.0,17200000,2015
Buck,IFC,4000000.0,,2011
Buddies in India,CL,293000.0,109300000,2017
"Buen Dia, Ramon",FIP,154000.0,4500000,2015
Buena Vista Social Club: Adios,BG,123000.0,578000,2017
Bullet Vanishes,CL,118000.0,,2012
Bullet to the Head,WB,9500000.0,,2013
Bullhead,Drft.,152000.0,,2012
Bully (2012),Wein.,279000.0,182000,2012
Bumblebee,Par.,127200000.0,340800000,2018
Buried,LGF,1000000.0,18100000,2010
Burke and Hare,IFC,4800.0,4300000,2011
Burlesque,SGem,39400000.0,50100000,2010
Burn the Stage: The Movie,Trafalgar,4200000.0,16100000,2018
Burning,WGUSA,719000.0,,2018
Burning Bush,KL,16700.0,,2014
Burnt,Wein.,13700000.0,23000000,2015
Busco Novio Para Mi Mujer,PNT,1700000.0,,2016
But Always (Yi Sheng Yi Shi),CL,431000.0,,2014
Butter,RTWC,105000.0,70700,2012
By the Sea,Uni.,538000.0,2800000,2015
Byzantium,IFC,89200.0,,2013
C'Est Si Bon,CJ,164000.0,,2015
CHiPs,WB,18600000.0,8199999,2017
Caesar Must Die,AF,76900.0,,2013
Cafe Society,LGF,11100000.0,32700000,2016
Cairo Time,IFC,1600000.0,391000,2010
Cake,CLF,2000000.0,,2015
Call Me by Your Name,SPC,18100000.0,23800000,2017
Calvary,FoxS,3600000.0,13300000,2014
Camille Claudel 1915,KL,35300.0,,2013
Camp X-Ray,IFC,13300.0,,2014
Can You Ever Forgive Me?,FoxS,8800000.0,,2018
Canopy,Mont.,8500.0,,2014
Cantinflas,LGF,6400000.0,,2014
Capernaum,SPC,1700000.0,,2018
Capital,Cohen,102000.0,2400000,2013
Captain America: Civil War,BV,408100000.0,745200000,2016
Captain America: The First Avenger,Par.,176700000.0,193900000,2011
Captain America: The Winter Soldier,BV,259800000.0,454500000,2014
Captain Fantastic,BST,5900000.0,16900000,2016
Captain Phillips,Sony,107100000.0,111700000,2013
Captain Underpants: The First Epic Movie,Fox,73900000.0,51600000,2017
Captive (2015),Par.,2600000.0,218000,2015
Capture the Flag,Par.,6700.0,24600000,2015
Carancho,Strand,85500.0,3900000,2011
Carlos,IFC,146000.0,726000,2010
Carnage (2011),SPC,2500000.0,25100000,2011
Carol,Wein.,12700000.0,27600000,2015
Carrie (2013),SGem,35300000.0,49500000,2013
Cars 2,BV,191500000.0,370700000,2011
Cars 3,BV,152900000.0,231000000,2017
Cartel Land,Orch.,704000.0,422000,2015
Casa De Mi Padre,LGF,5900000.0,2100000,2012
Case 39,ParV,13300000.0,14900000,2010
Casino Jack,ATO,1000000.0,40700,2010
Casino Jack and the United States of Money,Magn.,177000.0,,2010
Casting By,SD,18200.0,,2013
Caterpillar,Lorb.,4200.0,248000,2011
Catfish,Rog.,3200000.0,242000,2010
Cats & Dogs: The Revenge of Kitty Galore,WB,43600000.0,68900000,2010
Caught in the Web,Vita.,1100.0,,2013
Cave of Forgotten Dreams,IFC,5300000.0,1200000,2011
Cedar Rapids,FoxS,6900000.0,,2011
Celeste and Jesse Forever,SPC,3100000.0,,2012
Celine: Through the Eyes of the World,Sony,,119000,2010
Cemetery of Splendor,Strand,52000.0,,2016
Central Intelligence,WB (NL),127400000.0,89500000,2016
Centurion,Magn.,124000.0,6700000,2010
Ceremony,Magn.,22300.0,,2011
Certain Women,IFC,1100000.0,,2016
Certified Copy,IFC,1400000.0,4099999,2011
Cezanne et moi,Magn.,258000.0,,2017
Chaar Sahibzaade: Rise of Band Singh Bahadur,Eros,701000.0,,2016
Chain Letter,NFC,139000.0,447000,2010
Chakravyuh,Eros,152000.0,,2012
Chalet Girl,IFC,1700.0,1700000,2011
Chalo Dilli,Eros,94300.0,,2011
Chance Pe Dance,UTV,169000.0,24300,2010
Chappaquiddick,ENTMP,17400000.0,591000,2018
Chappie,Sony,31600000.0,70500000,2015
Charlie Countryman,MNE,11700.0,,2013
Charlie St. Cloud,Uni.,31200000.0,17000000,2010
Charlie's Country,MR,42900.0,,2015
Chasing Ice,SD,1300000.0,,2012
Chasing Mavericks,Fox,6000000.0,600,2012
Cheerful Weather for the Wedding,IFC,2700.0,,2012
Chef,ORF,31400000.0,14500000,2014
Chennai Express,UTV,5300000.0,,2013
Chernobyl Diaries,WB,18100000.0,19000000,2012
Cherry,Abr.,11400.0,,2010
Chevalier,Strand,25700.0,,2016
Chi-Raq,RAtt.,2700000.0,,2015
Chic!,Distrib.,5600.0,,2015
Chicken with Plums,SPC,254000.0,1200000,2012
Chico & Rita,GK,351000.0,1900000,2012
Child 44,LG/S,1200000.0,11700000,2015
Child's Pose,Zeit.,97200.0,,2014
Chillar Party,UTV,6300.0,826000,2011
Chimpanzee,BV,29000000.0,5900000,2012
Chinese Puzzle,Cohen,339000.0,7100000,2014
Chloe,SPC,3100000.0,8600000,2010
Chongqing Hot Pot,CL,780000.0,,2016
Christmas Eve,Ampl.,91300.0,,2015
Chronic,MR,9000.0,,2016
Chronicle (2012),Fox,64599999.0,62100000,2012
Churchill,Cohen,1300000.0,,2017
Cinderella (2015),BV,201200000.0,342400000,2015
Circumstance,RAtt.,454000.0,,2011
Cirkus Columbia,Strand,3500.0,9500,2012
Cirque Du Soleil: Worlds Away,Par.,12500000.0,21600000,2012
Citizenfour,RTWC,2800000.0,202000,2014
City Island,Anch.,6700000.0,1200000,2010
City of Ghosts,IFC,128000.0,100000,2017
City of Gold,IFC,641000.0,,2016
City of Life and Death,Kino,123000.0,10600000,2011
Clandestine Childhood,IFC,9000.0,,2013
Clash of the Titans (2010),WB,163200000.0,330000000,2010
Client 9: The Rise and Fall of Eliot Spitzer,Magn.,189000.0,3500,2010
